Company,Revenue,Employees,Industry,Year,Profit,Market_Share,Customer_Satisfaction,Growth_Rate
TechCorp,1200000,150,Technology,2023,180000,12.5,8.2,15.3
RetailPlus,800000,200,Retail,2023,120000,8.7,7.8,8.9
ManufacturingInc,2500000,500,Manufacturing,2023,350000,22.1,7.5,12.1
ServicePro,450000,75,Services,2023,67000,5.2,9.1,18.7
FinanceFirst,1800000,180,Finance,2023,290000,15.8,8.5,11.2
HealthcarePlus,950000,120,Healthcare,2023,142000,10.3,8.9,9.8
EduTech,320000,45,Education,2023,48000,3.1,9.3,22.4
FoodChain,650000,300,Food,2023,98000,7.4,8.1,6.7
AutoParts,1100000,220,Automotive,2023,165000,13.2,7.9,10.5
EnergyCore,3200000,400,Energy,2023,480000,18.9,7.6,7.3
TechStart,180000,25,Technology,2023,27000,1.8,8.7,35.2
ConsultingPro,420000,60,Consulting,2023,84000,4.1,9.2,16.8
LogisticMax,890000,180,Logistics,2023,133000,9.8,8.3,13.7
MediaGroup,540000,95,Media,2023,81000,6.1,8.4,14.2
RealEstateInc,1650000,140,Real Estate,2023,247000,14.5,8.0,9.1
